cargo,genero,salario_medio,salario_min,salario_max,num_mulheres,num_homens
Analista Administrativo,Feminino,4333.333333333333,2500.0,10000.0,6,12
Analista Administrativo,Masculino,2458.3333333333335,1500.0,5000.0,6,12
Analista de BI/BI Analyst/Analytics Engineer,Feminino,5738.805970149254,1500.0,18000.0,67,271
Analista de BI/BI Analyst/Analytics Engineer,Masculino,6426.1992619926195,500.0,35000.0,67,271
Analista de Dados/Data Analyst,Feminino,7204.819277108434,500.0,35000.0,83,241
Analista de Dados/Data Analyst,Masculino,6620.331950207469,500.0,27500.0,83,241
Analista de Inteligência de Mercado/Market Intelligence,Feminino,9600.0,3500.0,22500.0,5,13
Analista de Inteligência de Mercado/Market Intelligence,Masculino,5769.2307692307695,1500.0,14000.0,5,13
Analista de Marketing,Feminino,4166.666666666667,2500.0,5000.0,3,10
Analista de Marketing,Masculino,4750.0,1500.0,10000.0,3,10
Analista de Negócios/Business Analyst,Feminino,5740.0,2500.0,10000.0,25,71
Analista de Negócios/Business Analyst,Masculino,7535.211267605634,1500.0,27500.0,25,71
Analista de Sistemas/Analista de TI,Feminino,5000.0,5000.0,5000.0,1,13
Analista de Sistemas/Analista de TI,Masculino,4884.615384615385,1500.0,10000.0,1,13
Arquiteto de Dados,Masculino,22000.0,10000.0,45000.0,0,7
Arquiteto de dados,Masculino,12000.0,10000.0,14000.0,0,2
Cientista de Dados/Data Scientist,Feminino,7786.764705882353,1500.0,18000.0,68,289
Cientista de Dados/Data Scientist,Masculino,9411.764705882353,500.0,45000.0,68,289
DBA/Administrador de Banco de Dados,Feminino,5000.0,5000.0,5000.0,1,13
DBA/Administrador de Banco de Dados,Masculino,6923.076923076923,500.0,14000.0,1,13
Desenvolvedor ou Engenheiro de Software,Feminino,8884.615384615385,1500.0,45000.0,13,77
Desenvolvedor ou Engenheiro de Software,Masculino,8454.545454545454,500.0,45000.0,13,77
Engenheiro de Dados/Data Engineer,Feminino,7650.0,1500.0,35000.0,40,259
Engenheiro de Dados/Data Engineer,Masculino,10480.694980694981,500.0,45000.0,40,259
Engenheiro de Machine Learning/ML Engineer,Feminino,7611.111111111111,500.0,14000.0,9,39
Engenheiro de Machine Learning/ML Engineer,Masculino,10705.128205128205,500.0,45000.0,9,39
Estatístico,Feminino,8055.555555555556,1500.0,18000.0,9,16
Estatístico,Masculino,10718.75,500.0,27500.0,9,16
Outras Engenharias (não inclui dev),Feminino,6500.0,2500.0,10000.0,3,29
Outras Engenharias (não inclui dev),Masculino,6793.103448275862,1500.0,27500.0,3,29
Outro,Feminino,6760.869565217391,500.0,18000.0,23,90
Outro,Masculino,6838.888888888889,500.0,45000.0,23,90
Product Manager,Feminino,15333.333333333334,14000.0,18000.0,3,3
Product Manager,Masculino,10166.666666666666,2500.0,18000.0,3,3
Professor,Feminino,6000.0,1500.0,14000.0,4,8
Professor,Masculino,6937.5,1500.0,18000.0,4,8
Suporte Técnico,Feminino,2500.0,500.0,3500.0,4,9
Suporte Técnico,Masculino,2611.1111111111113,500.0,5000.0,4,9
Técnico,Feminino,5000.0,5000.0,5000.0,2,11
Técnico,Masculino,4272.727272727273,2500.0,7000.0,2,11
